step,stage,operation,notes,output_shape
1,input,DNA one-hot,genes concatenated,B x 5 x 240
2,input,Biophysical matrix — rpoB,separate channel,B x 3 x 78
3,input,Biophysical matrix — rpoC,separate channel,B x 3 x 66
4,DNA branch (Query),Conv1d 1x1 (stem) + ReLU,5->64 channels,B x 64 x 240
5,DNA branch (Query),Conv1d k=12 pad=6 + ReLU,"64 filters, length +1",B x 64 x 241
6,DNA branch (Query),MaxPool1d /3,length // 3,B x 64 x 80
7,DNA branch (Query),Conv1d k=3 pad=1 + ReLU,"32 filters, length kept",B x 32 x 80
8,DNA branch (Query),Conv1d k=3 pad=1 + ReLU,"32 filters, length kept",B x 32 x 80
9,DNA branch (Query),MaxPool1d /3,length // 3,B x 32 x 26
10,DNA branch (Query),"Transpose -> (B,L',d_model)",,B x 26 x 32
11,"Bio branch (rpoB, K/V)",Conv1d 1x1 (stem) + ReLU,3->64 channels,B x 64 x 78
12,"Bio branch (rpoB, K/V)",Conv1d k=12 pad=6 + ReLU,"64 filters, length +1",B x 64 x 79
13,"Bio branch (rpoB, K/V)",MaxPool1d /3,length // 3,B x 64 x 26
14,"Bio branch (rpoB, K/V)",Conv1d k=3 pad=1 + ReLU,"32 filters, length kept",B x 32 x 26
15,"Bio branch (rpoB, K/V)",Conv1d k=3 pad=1 + ReLU,"32 filters, length kept",B x 32 x 26
16,"Bio branch (rpoB, K/V)",MaxPool1d /3,length // 3,B x 32 x 8
17,"Bio branch (rpoB, K/V)",Transpose + Linear(32->d_model),,B x 8 x 32
18,"Bio branch (rpoC, K/V)",Conv1d 1x1 (stem) + ReLU,3->64 channels,B x 64 x 66
19,"Bio branch (rpoC, K/V)",Conv1d k=12 pad=6 + ReLU,"64 filters, length +1",B x 64 x 67
20,"Bio branch (rpoC, K/V)",MaxPool1d /3,length // 3,B x 64 x 22
21,"Bio branch (rpoC, K/V)",Conv1d k=3 pad=1 + ReLU,"32 filters, length kept",B x 32 x 22
22,"Bio branch (rpoC, K/V)",Conv1d k=3 pad=1 + ReLU,"32 filters, length kept",B x 32 x 22
23,"Bio branch (rpoC, K/V)",MaxPool1d /3,length // 3,B x 32 x 7
24,"Bio branch (rpoC, K/V)",Transpose + Linear(32->d_model),,B x 7 x 32
25,fusion,Concat K/V (seq axis),,B x 15 x 32
26,attention,"MultiheadAttention(Q,K,V)",4 heads,B x 26 x 32
27,attention,Flatten,,B x 832
28,head,DenseHead 256->256->out,,B x 1
